date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,tier,outcome_home,elo_home,elo_away,elo_diff
2000-02-15,Canada,South Korea,0.0,0.0,Gold Cup,Los Angeles,United States,True,1,0.5,1507.6315446199903,1504.5747870504656,3.056757569524734
2000-02-16,Bhutan,Turkmenistan,0.0,8.0,AFC Asian Cup qualification,Kuwait City,Kuwait,True,2,0.0,1424.6541500728504,1519.3579063639165,-94.70375629106616
2000-02-16,Honduras,Colombia,2.0,0.0,Gold Cup,Miami,United States,True,1,1.0,1537.6370529949359,1520.563308440463,17.073744554472796
2000-02-16,Japan,Brunei,9.0,0.0,AFC Asian Cup qualification,Macau,Macau,True,2,1.0,1526.8084140345359,1485.0,41.80841403453587
2000-02-16,Kuwait,Yemen,2.0,0.0,AFC Asian Cup qualification,Kuwait City,Kuwait,False,2,1.0,1585.494057149038,1508.8757966236049,76.61826052543324
2000-02-16,Lebanon,North Korea,1.0,0.0,Friendly,Beirut,Lebanon,False,4,1.0,1500.0,1490.5142498789155,9.485750121084493
2000-02-16,Macau,Singapore,0.0,1.0,AFC Asian Cup qualification,Macau,Macau,False,2,0.0,1515.0,1480.5836690513406,34.41633094865938
2000-02-16,Panama,El Salvador,4.0,1.0,Friendly,Panama City,Panama,False,4,1.0,1507.2842666694885,1490.625,16.65926666948849
2000-02-16,United States,Peru,1.0,0.0,Gold Cup,Miami,United States,False,1,1.0,1539.432571338937,1498.0203234140006,41.41224792493631
2000-02-17,Mexico,Guatemala,1.0,1.0,Gold Cup,Los Angeles,United States,True,1,0.5,1540.8897515492122,1463.942402851581,76.94734869763124
2000-02-17,Malaysia,Maldives,3.0,0.0,Friendly,Kuala Lumpur,Malaysia,False,4,1.0,1500.1618753711853,1492.3381246288147,7.823750742370521
2000-02-17,Barbados,Saint Kitts and Nevis,1.0,0.0,Friendly,Bridgetown,Barbados,False,4,1.0,1500.0,1495.34743868906,4.652561310939973
2000-02-17,South Korea,Costa Rica,2.0,2.0,Gold Cup,Los Angeles,United States,True,1,0.5,1504.7507436207825,1509.6536524363423,-4.90290881555984
2000-02-18,Kuwait,Nepal,5.0,0.0,AFC Asian Cup qualification,Kuwait City,Kuwait,False,2,1.0,1603.1111415873568,1470.7873685696618,132.32377301769498
2000-02-18,Yemen,Bhutan,11.0,2.0,AFC Asian Cup qualification,Kuwait City,Kuwait,True,2,1.0,1491.2587121852862,1398.5062288277338,92.75248335755236
2000-02-19,Dominica,Antigua and Barbuda,2.0,0.0,Friendly,Roseau,Dominica,False,4,1.0,1500.0,1500.0,0.0
2000-02-19,Honduras,Peru,3.0,5.0,Gold Cup,Miami,United States,True,1,0.0,1566.1639729976744,1480.3929783858273,85.77099461184707
2000-02-19,Oman,Switzerland,1.0,4.0,Friendly,Muscat,Oman,False,4,0.0,1500.0,1500.0,0.0
2000-02-19,United Arab Emirates,Slovenia,1.0,1.0,Friendly,Muscat,Oman,True,4,0.5,1500.0,1500.0,0.0
2000-02-19,United States,Colombia,2.0,2.0,Gold Cup,Miami,United States,False,1,0.5,1557.0599163671102,1492.0363884377246,65.02352792938564
2000-02-20,Singapore,Brunei,1.0,0.0,AFC Asian Cup qualification,Macau,Macau,True,2,1.0,1497.0647004494317,1451.990880228579,45.07382022085267
2000-02-20,Kernow,Guernsey,1.0,2.0,Friendly,Cornwall,England,False,4,0.0,1500.0,1500.0,0.0
2000-02-20,Thailand,Finland,0.0,0.0,King's Cup,Bangkok,Thailand,False,3,0.5,1500.0,1499.71225631668,0.28774368332005906
2000-02-20,Lesotho,Eswatini,1.0,0.0,Friendly,Maseru,Lesotho,False,4,1.0,1500.0,1500.0,0.0
2000-02-20,Macau,Japan,0.0,3.0,AFC Asian Cup qualification,Macau,Macau,False,2,0.0,1498.518968601909,1559.8175338059568,-61.29856520404792
2000-02-20,Costa Rica,Trinidad and Tobago,1.0,2.0,Gold Cup,San Diego,United States,True,1,0.0,1509.3714370507985,1487.918488786134,21.45294826466443
2000-02-20,Mexico,Canada,1.0,2.0,Gold Cup,San Diego,United States,True,1,0.0,1536.5313342365985,1507.4555880496735,29.075746186925016
2000-02-21,Oman,United Arab Emirates,0.0,1.0,Friendly,Muscat,Oman,False,4,0.0,1491.25,1500.0,-8.75
2000-02-23,North Macedonia,Serbia,1.0,2.0,Friendly,Skopje,North Macedonia,False,4,0.0,1500.0,1500.0,0.0
2000-02-23,Netherlands,Germany,2.0,1.0,Friendly,Amsterdam,Netherlands,False,4,1.0,1500.0,1500.0,0.0
2000-02-23,Oman,Slovenia,0.0,4.0,Friendly,Muscat,Oman,False,4,0.0,1486.3758960064533,1500.0,-13.624103993546669
2000-02-23,Greece,Austria,4.0,1.0,Friendly,Kalamáta,Greece,False,4,1.0,1500.0,1500.0,0.0
2000-02-23,Thailand,Brazil,0.0,7.0,King's Cup,Bangkok,Thailand,False,3,0.0,1499.9917180729458,1500.0,-0.008281927054213156
2000-02-23,Turkey,Norway,0.0,2.0,Friendly,Istanbul,Turkey,False,4,0.0,1500.0,1500.0,0.0
2000-02-23,United Arab Emirates,Switzerland,1.0,0.0,Friendly,Muscat,Oman,True,4,1.0,1504.8741039935467,1508.75,-3.875896006453331
2000-02-23,Luxembourg,Northern Ireland,1.0,3.0,Friendly,Luxembourg,Luxembourg,False,4,0.0,1500.0,1500.0,0.0
2000-02-23,Qatar,Wales,0.0,1.0,Friendly,Doha,Qatar,False,4,0.0,1500.1618753711853,1500.0,0.16187537118526052
2000-02-23,Lebanon,Jordan,1.0,1.0,Friendly,Tripoli,Lebanon,False,4,0.5,1504.8635229910678,1500.0,4.863522991067839
2000-02-23,France,Poland,1.0,0.0,Friendly,Saint-Denis,France,False,4,1.0,1500.0,1491.25,8.75
2000-02-23,Israel,Russia,4.0,1.0,Friendly,Haifa,Israel,False,4,1.0,1500.0,1500.0,0.0
2000-02-23,Republic of Ireland,Czech Republic,3.0,2.0,Friendly,Dublin,Republic of Ireland,False,4,1.0,1500.0,1500.0,0.0
2000-02-23,Hungary,Australia,0.0,3.0,Friendly,Budapest,Hungary,False,4,0.0,1500.0,1494.861854318357,5.138145681642982
2000-02-23,Estonia,Finland,2.0,4.0,King's Cup,Bangkok,Thailand,True,3,0.0,1500.0,1499.7205382437342,0.2794617562658459
2000-02-23,England,Argentina,0.0,0.0,Friendly,London,England,False,4,0.5,1500.0,1500.0,0.0
2000-02-23,Croatia,Spain,0.0,0.0,Friendly,Split,Croatia,False,4,0.5,1500.0,1508.75,-8.75
2000-02-23,Colombia,Peru,2.0,1.0,Gold Cup,San Diego,United States,True,1,1.0,1495.7363457015051,1517.6521686110034,-21.915822909498274
2000-02-23,Belgium,Portugal,1.0,1.0,Friendly,Charleroi,Belgium,False,4,0.5,1500.0,1500.0,0.0
2000-02-23,Italy,Sweden,1.0,0.0,Friendly,Palermo,Italy,False,4,1.0,1500.0,1500.0,0.0
2000-02-24,Trinidad and Tobago,Canada,0.0,1.0,Gold Cup,Los Angeles,United States,True,1,0.0,1509.1518527002786,1529.1254261428192,-19.973573442540555
2000-02-25,British Virgin Islands,Anguilla,3.0,4.0,Friendly,Road Town,British Virgin Islands,False,4,0.0,1490.3477027975932,1500.0,-9.652297202406771
2000-02-25,Thailand,Estonia,2.0,1.0,King's Cup,Bangkok,Thailand,False,3,1.0,1477.4922544122455,1484.9879346687137,-7.495680256468177
